import time: self [us] | cumulative | imported package
import time:       492 |        492 |   _io
import time:        36 |         36 |   marshal
import time:       825 |        825 |   posix
import time:       321 |       1673 | _frozen_importlib_external
import time:      5275 |       5275 |   time
import time:       130 |       5404 | zipimport
import time:       105 |        105 |     _codecs
import time:       185 |        290 |   codecs
import time:      2265 |       2265 |   encodings.aliases
import time:      3662 |       6216 | encodings
import time:      1574 |       1574 | encodings.utf_8
import time:        91 |         91 | _signal
import time:        17 |         17 |     _abc
import time:        74 |         90 |   abc
import time:        89 |        179 | io
import time:        40 |         40 |       _stat
import time:       130 |        169 |     stat
import time:       742 |        742 |     _collections_abc
import time:       299 |        299 |       genericpath
import time:        66 |        364 |     posixpath
import time:       426 |       1700 |   os
import time:        37 |         37 |   _sitebuiltins
import time:      1572 |       1572 |         types
import time:       262 |        262 |           _operator
import time:      2276 |       2537 |         operator
import time:        84 |         84 |             itertools
import time:       299 |        299 |             keyword
import time:       324 |        324 |             reprlib
import time:        42 |         42 |             _collections
import time:      1467 |       2214 |           collections
import time:        30 |         30 |           _functools
import time:      1040 |       3283 |         functools
import time:      4305 |      11696 |       enum
import time:        56 |         56 |         _sre
import time:       415 |        415 |           re._constants
import time:      1074 |       1489 |         re._parser
import time:       266 |        266 |         re._casefix
import time:       840 |       2649 |       re._compiler
import time:      2661 |       2661 |       copyreg
import time:      3178 |      20182 |     re
import time:      6027 |      26209 |   sitecustomize
import time:      1776 |      29721 | site
import time:       799 |        799 | warnings
import time:      1024 |       1024 |     collections.abc
import time:       328 |        328 |       concurrent
import time:       387 |        387 |                 token
import time:        33 |         33 |                 _tokenize
import time:      1849 |       2268 |               tokenize
import time:       308 |       2575 |             linecache
import time:       666 |        666 |             textwrap
import time:      2469 |       2469 |             contextlib
import time:       888 |       6597 |           traceback
import time:       329 |        329 |             _weakrefset
import time:       440 |        768 |           weakref
import time:        25 |         25 |             _string
import time:      2922 |       2947 |           string
import time:       756 |        756 |           threading
import time:        33 |         33 |           atexit
import time:      3695 |      14793 |         logging
import time:      1214 |      16006 |       concurrent.futures._base
import time:       303 |      16636 |     concurrent.futures
import time:        79 |         79 |     errno
import time:       852 |        852 |       _heapq
import time:      1565 |       2417 |     heapq
import time:      1501 |       1501 |       _socket
import time:       636 |        636 |         math
import time:       564 |        564 |         select
import time:       896 |       2096 |       selectors
import time:       351 |        351 |       array
import time:      1328 |       5274 |     socket
import time:        97 |         97 |         _locale
import time:       679 |        776 |       locale
import time:       468 |        468 |       signal
import time:      1431 |       1431 |       fcntl
import time:       349 |        349 |       msvcrt
import time:       542 |        542 |       _posixsubprocess
import time:       580 |       4145 |     subprocess
import time:      2153 |       2153 |       _ssl
import time:       440 |        440 |           _struct
import time:       227 |        667 |         struct
import time:       689 |        689 |         binascii
import time:       386 |       1741 |       base64
import time:      1423 |       5316 |     ssl
import time:       281 |        281 |     asyncio.constants
import time:       563 |        563 |           _ast
import time:       804 |       1366 |         ast
import time:       425 |        425 |             _opcode
import time:       393 |        817 |           opcode
import time:       620 |       1437 |         dis
import time:       262 |        262 |           importlib
import time:        30 |        292 |         importlib.machinery
import time:      1297 |       4390 |       inspect
import time:       248 |       4637 |     asyncio.coroutines
import time:       644 |        644 |         _contextvars
import time:       172 |        815 |       contextvars
import time:       250 |        250 |       asyncio.format_helpers
import time:       182 |        182 |         asyncio.base_futures
import time:       218 |        218 |         asyncio.exceptions
import time:       662 |        662 |         asyncio.base_tasks
import time:       468 |       1529 |       _asyncio
import time:       470 |       3063 |     asyncio.events
import time:       310 |        310 |     asyncio.futures
import time:       224 |        224 |     asyncio.protocols
import time:       274 |        274 |       asyncio.transports
import time:       192 |        192 |       asyncio.log
import time:       443 |        909 |     asyncio.sslproto
import time:       176 |        176 |         asyncio.mixins
import time:       364 |        539 |       asyncio.locks
import time:        17 |         17 |             _typing
import time:      1745 |       1761 |           typing
import time:       326 |       2087 |         asyncio.timeouts
import time:       346 |       2433 |       asyncio.tasks
import time:       219 |       3190 |     asyncio.staggered
import time:       306 |        306 |     asyncio.trsock
import time:      1346 |      49149 |   asyncio.base_events
import time:       620 |        620 |   asyncio.runners
import time:       278 |        278 |   asyncio.queues
import time:       892 |        892 |   asyncio.streams
import time:       151 |        151 |   asyncio.subprocess
import time:        99 |         99 |   asyncio.taskgroups
import time:       162 |        162 |   asyncio.threads
import time:       259 |        259 |     asyncio.base_subprocess
import time:       493 |        493 |     asyncio.selector_events
import time:       507 |       1258 |   asyncio.unix_events
import time:      1104 |      53709 | asyncio
import time:       233 |        233 |   httpx.__version__
import time:       201 |        201 |     __future__
import time:       533 |        533 |         _datetime
import time:       206 |        739 |       datetime
import time:      1305 |       1305 |           _hashlib
import time:       451 |        451 |           _blake2
import time:       236 |       1991 |         hashlib
import time:       192 |        192 |           urllib
import time:       428 |        428 |             _bisect
import time:       213 |        640 |           bisect
import time:       186 |        186 |           email
import time:       416 |        416 |             http
import time:       347 |        347 |                 email.errors
import time:       381 |        381 |                     email.quoprimime
